"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"BDD: Given inputs, when checking via API, then result matches expected","1","BDD: Check if two strings are anagrams via API","tests.api","Tue Dec 02 00:35:26 UTC 2025","passed","Tue Dec 02 00:35:26 UTC 2025","TestAnagramAPIBDD","test_api","",""
"Test the health check endpoint","30","Test health check endpoint","tests.api","Tue Dec 02 00:35:26 UTC 2025","passed","Tue Dec 02 00:35:26 UTC 2025","TestAnagramAPI","test_api","",""
"Test various non-anagram pairs","0","Test check method with non-anagrams","tests.unit","Tue Dec 02 00:35:30 UTC 2025","passed","Tue Dec 02 00:35:30 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"BDD: Given inputs, when checking via API, then result matches expected","2","BDD: Check if two strings are anagrams via API","tests.api","Tue Dec 02 00:35:26 UTC 2025","passed","Tue Dec 02 00:35:26 UTC 2025","TestAnagramAPIBDD","test_api","",""
"Test API with invalid JSON","2","Test API with invalid JSON","tests.api","Tue Dec 02 00:35:26 UTC 2025","passed","Tue Dec 02 00:35:26 UTC 2025","TestAnagramAPI","test_api","",""
"Test API endpoint with non-anagrams","2","Test API check endpoint with non-anagrams","tests.api","Tue Dec 02 00:35:26 UTC 2025","passed","Tue Dec 02 00:35:26 UTC 2025","TestAnagramAPI","test_api","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","919","test_check_if_two_strings_are_anagrams[rat-car-false]","tests.bdd","Tue Dec 02 00:35:59 UTC 2025","passed","Tue Dec 02 00:36:00 UTC 2025","","test_anagram_ui","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","968","test_check_if_two_strings_are_anagrams[hello-world-false]","tests.bdd","Tue Dec 02 00:35:54 UTC 2025","passed","Tue Dec 02 00:35:55 UTC 2025","","test_anagram_ui","",""
"Test factory function creates valid instance","0","Test factory function","tests.unit","Tue Dec 02 00:35:30 UTC 2025","passed","Tue Dec 02 00:35:30 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test API endpoint with valid anagrams","2","Test API check endpoint with valid anagrams","tests.api","Tue Dec 02 00:35:26 UTC 2025","passed","Tue Dec 02 00:35:26 UTC 2025","TestAnagramAPI","test_api","",""
"Test combined case and space normalization","0","Test combined normalization","tests.unit","Tue Dec 02 00:35:30 UTC 2025","passed","Tue Dec 02 00:35:30 UTC 2025","TestCaseInsensitiveNormalizer","test_anagram_checker","",""
"Test normalization of empty string","0","Test empty string","tests.unit","Tue Dec 02 00:35:30 UTC 2025","passed","Tue Dec 02 00:35:30 UTC 2025","TestCaseInsensitiveNormalizer","test_anagram_checker","",""
"Test API endpoint with valid anagrams","2","Test API check endpoint with valid anagrams","tests.api","Tue Dec 02 00:35:26 UTC 2025","passed","Tue Dec 02 00:35:26 UTC 2025","TestAnagramAPI","test_api","",""
"Test validation of empty strings","0","Test empty strings","tests.unit","Tue Dec 02 00:35:30 UTC 2025","passed","Tue Dec 02 00:35:30 UTC 2025","TestSortedAnagramValidator","test_anagram_checker","",""
"Test various valid anagram pairs","0","Test check method with valid anagrams","tests.unit","Tue Dec 02 00:35:30 UTC 2025","passed","Tue Dec 02 00:35:30 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test various valid anagram pairs","1","Test check method with valid anagrams","tests.unit","Tue Dec 02 00:35:30 UTC 2025","passed","Tue Dec 02 00:35:30 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test that spaces are removed","0","Test space removal","tests.unit","Tue Dec 02 00:35:30 UTC 2025","passed","Tue Dec 02 00:35:30 UTC 2025","TestCaseInsensitiveNormalizer","test_anagram_checker","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker_Part2.feature: Check if two strings are anagrams - Set 2","891","test_check_if_two_strings_are_anagrams__set_2[eleven plus two-twelve plus one-true]","tests.bdd","Tue Dec 02 00:36:05 UTC 2025","passed","Tue Dec 02 00:36:06 UTC 2025","","test_anagram_ui","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker_Part2.feature: Check if two strings are anagrams - Set 2","903","test_check_if_two_strings_are_anagrams__set_2[a gentleman-elegant man-true]","tests.bdd","Tue Dec 02 00:36:04 UTC 2025","passed","Tue Dec 02 00:36:05 UTC 2025","","test_anagram_ui","",""
"Test that invalid input raises ValueError","0","Test invalid input type","tests.unit","Tue Dec 02 00:35:30 UTC 2025","passed","Tue Dec 02 00:35:30 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
