"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test API with numeric strings","2","Test API with numeric strings","tests.api","Wed Dec 03 08:03:12 UTC 2025","passed","Wed Dec 03 08:03:12 UTC 2025","TestAnagramAPI","test_api","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","826","test_check_if_two_strings_are_anagrams[LISTEN-silent-true]","tests.bdd","Wed Dec 03 08:04:36 UTC 2025","passed","Wed Dec 03 08:04:37 UTC 2025","","test_anagram_ui","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","832","test_check_if_two_strings_are_anagrams[123-321-true]","tests.bdd","Wed Dec 03 08:04:30 UTC 2025","passed","Wed Dec 03 08:04:30 UTC 2025","","test_anagram_ui","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","848","test_check_if_two_strings_are_anagrams[1-1-true]","tests.bdd","Wed Dec 03 08:04:13 UTC 2025","passed","Wed Dec 03 08:04:14 UTC 2025","","test_anagram_ui","",""
"BDD: Given inputs, when checking via API, then result matches expected","2","BDD: Check if two strings are anagrams via API","tests.api","Wed Dec 03 08:03:12 UTC 2025","passed","Wed Dec 03 08:03:12 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with numeric strings","1","Test API with numeric strings","tests.api","Wed Dec 03 08:03:12 UTC 2025","passed","Wed Dec 03 08:03:12 UTC 2025","TestAnagramAPI","test_api","",""
"Test that invalid input raises ValueError","1","Test invalid input type","tests.unit","Wed Dec 03 08:03:16 UTC 2025","passed","Wed Dec 03 08:03:16 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test that ReDoc docs are available","2","Test ReDoc documentation","tests.api","Wed Dec 03 08:03:11 UTC 2025","passed","Wed Dec 03 08:03:11 UTC 2025","TestAnagramAPI","test_api","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","862","test_check_if_two_strings_are_anagrams[hello-world-false]","tests.bdd","Wed Dec 03 08:04:03 UTC 2025","passed","Wed Dec 03 08:04:04 UTC 2025","","test_anagram_ui","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","846","test_check_if_two_strings_are_anagrams[123-124-false]","tests.bdd","Wed Dec 03 08:04:32 UTC 2025","passed","Wed Dec 03 08:04:33 UTC 2025","","test_anagram_ui","",""
"Test API with various whitespace scenarios","2","Test API with whitespace variations","tests.api","Wed Dec 03 08:03:12 UTC 2025","passed","Wed Dec 03 08:03:12 UTC 2025","TestAnagramAPI","test_api","",""
"BDD: Given inputs, when checking via API, then result matches expected","2","BDD: Check if two strings are anagrams via API","tests.api","Wed Dec 03 08:03:12 UTC 2025","passed","Wed Dec 03 08:03:12 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with Unicode and international characters","2","Test API with Unicode characters","tests.api","Wed Dec 03 08:03:12 UTC 2025","passed","Wed Dec 03 08:03:12 UTC 2025","TestAnagramAPI","test_api","",""
"Test factory function creates valid instance","1","Test factory function","tests.unit","Wed Dec 03 08:03:16 UTC 2025","passed","Wed Dec 03 08:03:16 UTC 2025","TestAnagramChecker","test_anagram_checker","",""
"Test API with special characters","2","Test API with special characters","tests.api","Wed Dec 03 08:03:12 UTC 2025","passed","Wed Dec 03 08:03:12 UTC 2025","TestAnagramAPI","test_api","",""
"Test API with repeated characters","2","Test API with repeated characters","tests.api","Wed Dec 03 08:03:12 UTC 2025","passed","Wed Dec 03 08:03:12 UTC 2025","TestAnagramAPI","test_api","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","829","test_check_if_two_strings_are_anagrams[aaa-aab-false]","tests.bdd","Wed Dec 03 08:04:39 UTC 2025","passed","Wed Dec 03 08:04:40 UTC 2025","","test_anagram_ui","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","859","test_check_if_two_strings_are_anagrams[a-a-true]","tests.bdd","Wed Dec 03 08:04:10 UTC 2025","passed","Wed Dec 03 08:04:11 UTC 2025","","test_anagram_ui","",""
"/__w/smbc_test/smbc_test/features/Anagram_Checker.feature: Check if two strings are anagrams","851","test_check_if_two_strings_are_anagrams[Funeral-Real fun-true]","tests.bdd","Wed Dec 03 08:04:49 UTC 2025","passed","Wed Dec 03 08:04:50 UTC 2025","","test_anagram_ui","",""
